epochs,n_samples,losses/opt1/fit/coeff,losses/opt1/fit/value,losses/opt1/sparsity/coeff,losses/opt1/sparsity/value,losses/opt1/fit_all_on/coeff,losses/opt1/fit_all_on/value,losses/opt1/reconstruction/coeff,losses/opt1/reconstruction/value,losses/opt1/fit_all_half/coeff,losses/opt1/fit_all_half/value,losses/opt1/value,grads/opt1/grad_total_l1mean,grads/opt1/grad_total_l2sum,metrics/batch_index,metrics/batch_size,metrics/fit/mean_feature,metrics/fit/std_feature,metrics/fit/min_feature,metrics/fit/max_feature,metrics/fit/loss_fcons,metrics/fit/loss_add,metrics/fit/loss_rec,metrics/fit/loss_fcons_pre,metrics/fit/rec_fit_acc_loss_01_agg,"metrics/sparsity/sparsity_param_0_(5, 5)",metrics/fit_all_on/mean_feature,metrics/fit_all_on/std_feature,metrics/fit_all_on/min_feature,metrics/fit_all_on/max_feature,metrics/fit_all_on/loss_fcons,metrics/fit_all_on/loss_add,metrics/fit_all_on/loss_rec,metrics/fit_all_on/loss_fcons_pre,metrics/fit_all_on/rec_fit_acc_loss_01_agg,metrics/reconstruction/rec_acc_loss_01_agg,metrics/fit_all_half/mean_feature,metrics/fit_all_half/std_feature,metrics/fit_all_half/min_feature,metrics/fit_all_half/max_feature,metrics/fit_all_half/loss_fcons,metrics/fit_all_half/loss_add,metrics/fit_all_half/loss_rec,metrics/fit_all_half/loss_fcons_pre,metrics/fit_all_half/rec_fit_acc_loss_01_agg,metrics/episode_reward,metrics/fit_loss_smooth,metrics/graph_entropy_ma,metrics/graph_entropy_mf,metrics/max_element_ma,metrics/max_element_mf,metrics/nnz,metrics/non_sparse_fit_loss_smooth,metrics/threshold_action,metrics/threshold_annealer_threshold,metrics/threshold_features,metrics/|last_add_sparsity_gap,metrics/|last_mult_sparsity_gap,CausalModel,threshold_learner_feature,model,checkpoint_tune,checkpoint_size,time_this_iter_s,should_checkpoint,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,config/name,config/base_dir,config/db_name,config/sources,config/log_sys_usage,config/_gin__mode__grid_search,time_since_restore,timesteps_since_restore,iterations_since_restore,perf/cpu_util_percent,perf/ram_util_percent,trial_id,experiment_tag,metrics/context_stats_steps_sampled_laps,metrics/context_stats_pending_refs,threshold_learner_action,metrics/context_stats_collect_time_s,metrics/context_stats_steps_collected_now,metrics/context_stats_steps_collected_laps,metrics/context_stats_collect_iters,metrics/context_stats_steps_collected,metrics/context_stats_steps_sampled,metrics/context_stats_collected_sampled_ratio,perf/gpu_util_percent0,perf/vram_util_percent0,perf/gpu_util_percent1,perf/vram_util_percent1,config/_gin__mode__choice
44995.0,1000.0,0.33,0.051850710064172745,0.04,12.120170593261719,0.1,0.04621703177690506,0.029,0.06143806502223015,0.0033,5.142248153686523,0.5252903699874878,0.009179939579427872,0.9738424017997678,0.0,-1.0,[ 3.31937   -1.9461856 -5.2760997],[ 8.973777  9.844874 14.417334],-37.237144470214844,36.56576919555664,0.0047816927544772625,0.01188502088189125,0.051850710064172745,0.004458854906260967,1.0001999735832214,12.120170593261719,[ 3.31937   -1.9461856 -5.2760997],[ 8.973777  9.844874 14.417334],-37.237144470214844,36.56576919555664,0.004540290683507919,0.008304527960717678,0.04621703177690506,0.004209749400615692,1.0001428127288818,1.0002285838127136,[ 3.31937   -1.9461856 -5.2760997],[ 8.973777  9.844874 14.417334],-37.237144470214844,36.56576919555664,0.01575036719441414,0.3433513343334198,5.142248153686523,0.014643488451838493,1.034314215183258,6.015873432159424,0.029910096898674965,"[0.05315484 0.00119944 0.00102118 0.05309877 0.00102118 0.05316203
 0.00102118 0.05285921 0.05318175 0.05357013]","[0.00102118 0.05320504 0.05374547 0.05213669 0.00102118 0.04949319
 0.05290929 0.05324601 0.00102118 0.02960643 0.05294805 0.00505966
 0.00328446 0.02018709 0.00878397]",1.0011125802993774,1.0010825395584106,12.0,0.029577298089861873,0.09732847339738146,0.001,0.09730093675936831,0.0003327988088130916,0.011126637601359119,,,,,,0.26770591735839844,,False,,,44996,a44dcccbd2314e0fb3552d4ddf391e1a,2021-02-27_13-23-39,1614432219,9814.107047080994,11471,2bc0ee4f9cd2,172.28.0.2,rl_const_sparsity_obs_space_env_ve2_with_rew_done_ve2_modes_ablation,/root/causality-disentanglement-rl/results/rl_const_sparsity_obs_space_env_ve2_with_rew_done_ve2_modes_ablation/2021_02_27_10_40_03__26489f08-78e8-11eb-842e-0242ac1c0002,causal_sparse,"['/root/causality-disentanglement-rl/sparse_causal_model_learner_rl/configs/rl_const_sparsity_obs_space.gin', '/root/causality-disentanglement-rl/sparse_causal_model_learner_rl/configs/env_ve2_with_rew_done.gin', '/root/causality-disentanglement-rl/sparse_causal_model_learner_rl/configs/ve2_modes_ablation.gin']",True,single_model_dec,9814.107047080994,0,44996,,,264be_00000,0__gin__mode__grid_search=single_model_dec,450.14,11.0,,3.5762786865234375e-06,0.0,225.08955,0.0,22508955.0,45014000.0,0.5000434309325987,,,,,
44995.0,1000.0,0.33,0.03962738811969757,0.04,12.128637313842773,0.1,0.041636209934949875,0.029,0.15761837363243103,0.0033,6.593586444854736,0.528715968132019,0.013654065043777431,0.6654274633720708,0.0,-1.0,[1.6261077  0.65072036 0.13946268],[6.1881576 6.1899724 6.2486453],-19.123144149780273,22.241596221923828,0.0023086988367140293,0.001565843471325934,0.03962738811969757,0.0013313754461705685,1.0,12.128637313842773,[1.6261077  0.65072036 0.13946268],[6.1881576 6.1899724 6.2486453],-19.123144149780273,22.241596221923828,0.002383028157055378,0.002860523061826825,0.041636209934949875,0.0013594173360615969,1.0,1.0003713965415955,[1.6261077  0.65072036 0.13946268],[6.1881576 6.1899724 6.2486453],-19.123144149780273,22.241596221923828,0.002297749277204275,0.35086119174957275,6.593586444854736,0.0013741693692281842,1.0413427948951721,5.942857265472412,0.047350581735372536,"[0.00102118 0.05366326 0.00102118 0.0529929  0.05329428 0.05155854
 0.00102118 0.05312009 0.0516285  0.05302121]","[0.00102118 0.05291034 0.05355199 0.05296353 0.00102118 0.05352605
 0.05228996 0.05318876 0.00102118 0.00580561 0.00102118 0.00151285
 0.00114925 0.00521666 0.00102118]",1.0001579523086548,1.0009645223617554,12.0,0.04850234836339951,0.09743407265204554,0.001,0.09728008569812102,-0.0011517666280269762,-0.02432423395479778,,,,,,0.2777724266052246,,False,,,44996,2944ee2d40e749458bba2646d14de658,2021-02-27_13-37-27,1614433047,10642.359338283539,11469,2bc0ee4f9cd2,172.28.0.2,rl_const_sparsity_obs_space_env_ve2_with_rew_done_ve2_modes_ablation,/root/causality-disentanglement-rl/results/rl_const_sparsity_obs_space_env_ve2_with_rew_done_ve2_modes_ablation/2021_02_27_10_40_03__26489f08-78e8-11eb-842e-0242ac1c0002,causal_sparse,"['/root/causality-disentanglement-rl/sparse_causal_model_learner_rl/configs/rl_const_sparsity_obs_space.gin', '/root/causality-disentanglement-rl/sparse_causal_model_learner_rl/configs/env_ve2_with_rew_done.gin', '/root/causality-disentanglement-rl/sparse_causal_model_learner_rl/configs/ve2_modes_ablation.gin']",True,single_model_rec,10642.359338283539,0,44996,,,264be_00001,1__gin__mode__grid_search=single_model_rec,,,,,,,,,,,,,,,
44995.0,1000.0,0.33,0.37720930576324463,0.04,8.168514251708984,0.1,0.32624587416648865,0.029,0.5412920117378235,0.0033,7.419718265533447,0.5240267515182495,0.11883277248727672,8.432248763573334,0.0,-1.0,[ 2.505561  -1.0178702  2.3247936],[ 7.6874003  4.058388  12.488289 ],-9.545555114746094,47.43255615234375,0.014342482201755047,0.1475033313035965,0.37720930576324463,0.01576252467930317,1.0003999471664429,8.168514251708984,[ 2.505561  -1.0178702  2.3247936],[ 7.6874003  4.058388  12.488289 ],-9.545555114746094,47.43255615234375,0.014451395720243454,0.03220118209719658,0.32624587416648865,0.01586334966123104,1.0005142092704773,1.0017999410629272,[ 2.505561  -1.0178702  2.3247936],[ 7.6874003  4.058388  12.488289 ],-9.545555114746094,47.43255615234375,0.018375186249613762,0.3946060240268707,7.419718265533447,0.020189780741930008,1.048885703086853,5.960000038146973,0.23930975794792173,"[0.05472232 0.00124402 0.05238196 0.00102118 0.05530683 0.05447743
 0.00120429 0.05316998 0.05436311 0.05517139]","[0.00102118 0.05504721 0.0540322  0.05449403 0.00102118 0.05412778
 0.05185593 0.05330838 0.00102118 0.00739638 0.05510088 0.05290861
 0.00354498 0.05344902 0.05419246]",0.9999474883079529,1.0009942054748535,8.0,0.15449641644954681,0.09923628969465213,0.001,0.09897137916706028,0.08481334149837491,0.35440820393471745,,,,,,0.16593265533447266,,False,,,44996,7337c7f433854ad4ae6d86595faa1775,2021-02-27_16-45-36,1614444336,12112.50940489769,83014,2bc0ee4f9cd2,172.28.0.2,rl_const_sparsity_obs_space_env_ve2_with_rew_done_ve2_modes_ablation,/root/causality-disentanglement-rl/results/rl_const_sparsity_obs_space_env_ve2_with_rew_done_ve2_modes_ablation/2021_02_27_10_40_03__26489f08-78e8-11eb-842e-0242ac1c0002,causal_sparse,"['/root/causality-disentanglement-rl/sparse_causal_model_learner_rl/configs/rl_const_sparsity_obs_space.gin', '/root/causality-disentanglement-rl/sparse_causal_model_learner_rl/configs/env_ve2_with_rew_done.gin', '/root/causality-disentanglement-rl/sparse_causal_model_learner_rl/configs/ve2_modes_ablation.gin']",True,ten_features,12112.50940489769,0,44996,,,264be_00002,2__gin__mode__grid_search=ten_features,450.13,10.0,,2.6226043701171875e-06,0.0,225.0801,0.0,22508010.0,45013000.0,0.500033545864528,,,,,
44995.0,1000.0,0.33,0.053331147879362106,0.04,16.086889266967773,0.1,0.06210866570472717,0.029,0.11940431594848633,0.0033,6.043742656707764,0.6906927824020386,0.015136516921459054,0.8668353533192539,0.0,-1.0,[ 0.9964891 -4.6077843 -0.7573303],[ 3.8746767 11.217648   3.7729223],-26.71509552001953,21.7448787689209,0.010678292252123356,0.002029150491580367,0.053331147879362106,0.011173894628882408,1.0,16.086889266967773,[ 0.9964891 -4.6077843 -0.7573303],[ 3.8746767 11.217648   3.7729223],-26.71509552001953,21.7448787689209,0.0107957124710083,0.003578286385163665,0.06210866570472717,0.011366412043571472,1.0000856518745422,1.000428557395935,[ 0.9964891 -4.6077843 -0.7573303],[ 3.8746767 11.217648   3.7729223],-26.71509552001953,21.7448787689209,0.03182974085211754,0.3740366995334625,6.043742656707764,0.03217238187789917,1.0383713245391846,6.035714626312256,0.1631188541650772,"[0.00102118 0.0537331  0.00102118 0.05371531 0.00179005 0.05358792
 0.00102118 0.05321323 0.05313429 0.05308263]","[0.00102118 0.05377202 0.00102118 0.05354985 0.00236678 0.0018503
 0.00102118 0.00245385 0.0024455  0.00192399 0.01155235 0.00113192
 0.00102118 0.00102118 0.05277413]",1.0001217126846313,1.0005146265029907,16.0,0.16964669525623322,0.09750517901667134,0.001,0.09748171166499742,-0.006527841091156006,-0.040018924388408185,,,,,,0.21246027946472168,,False,,,44996,f43aca9f3909447d90c379b66f10553b,2021-02-27_17-05-30,1614445530,12476.85313129425,90282,2bc0ee4f9cd2,172.28.0.2,rl_const_sparsity_obs_space_env_ve2_with_rew_done_ve2_modes_ablation,/root/causality-disentanglement-rl/results/rl_const_sparsity_obs_space_env_ve2_with_rew_done_ve2_modes_ablation/2021_02_27_10_40_03__26489f08-78e8-11eb-842e-0242ac1c0002,causal_sparse,"['/root/causality-disentanglement-rl/sparse_causal_model_learner_rl/configs/rl_const_sparsity_obs_space.gin', '/root/causality-disentanglement-rl/sparse_causal_model_learner_rl/configs/env_ve2_with_rew_done.gin', '/root/causality-disentanglement-rl/sparse_causal_model_learner_rl/configs/ve2_modes_ablation.gin']",True,two_features,12476.85313129425,0,44996,,,264be_00003,3__gin__mode__grid_search=two_features,450.13,12.0,,3.814697265625e-06,0.0,225.0801,0.0,22508010.0,45013000.0,0.500033545864528,,,,,
44995.0,1000.0,0.33,0.021706638857722282,0.04,18.067659378051758,0.1,0.022576428949832916,0.029,0.04465792328119278,0.0033,5.0801591873168945,0.7501868009567261,0.0038843255962123734,0.4140952478794753,0.0,-1.0,[-0.95712197  0.32966536  1.2781833 ],[4.6852345 3.3280191 3.7430549],-11.437939643859863,11.75416374206543,0.005516147240996361,0.002770191291347146,0.021706638857722282,0.0056526497937738895,1.0,18.067659378051758,[-0.95712197  0.32966536  1.2781833 ],[4.6852345 3.3280191 3.7430549],-11.437939643859863,11.75416374206543,0.005546738859266043,0.0022809416987001896,0.022576428949832916,0.005696953274309635,1.0,1.0000284910202026,[-0.95712197  0.32966536  1.2781833 ],[4.6852345 3.3280191 3.7430549],-11.437939643859863,11.75416374206543,0.02942451648414135,0.35089224576950073,5.0801591873168945,0.028662847355008125,1.0324285626411438,6.0,0.024225456640124318,"[0.05279406 0.00102118 0.05269827 0.0024666  0.00102118 0.05231687
 0.00102118 0.0530819  0.05405803 0.05173488]","[0.00102118 0.00102118 0.00102118 0.00273243 0.00102118 0.00102118
 0.00102118 0.00102118 0.00102118 0.01179871 0.00233766 0.0026175
 0.00102118 0.00102118 0.05394702]",1.000425100326538,1.00013267993927,18.0,0.02288593351840973,0.09785943091692238,0.001,0.09767273122114453,0.0013395231217145885,0.05529402981390878,,,,,,0.21164798736572266,,False,,,44996,f855a85558e2491fa3f8f7bc8377c296,2021-02-27_21-29-40,1614461380,17030.950543642044,195624,2bc0ee4f9cd2,172.28.0.2,rl_const_sparsity_obs_space_env_ve2_with_rew_done_ve2_modes_ablation,/root/causality-disentanglement-rl/results/rl_const_sparsity_obs_space_env_ve2_with_rew_done_ve2_modes_ablation/2021_02_27_10_40_03__26489f08-78e8-11eb-842e-0242ac1c0002,causal_sparse,"['/root/causality-disentanglement-rl/sparse_causal_model_learner_rl/configs/rl_const_sparsity_obs_space.gin', '/root/causality-disentanglement-rl/sparse_causal_model_learner_rl/configs/env_ve2_with_rew_done.gin', '/root/causality-disentanglement-rl/sparse_causal_model_learner_rl/configs/ve2_modes_ablation.gin']",True,single_feature,17030.950543642044,0,44996,,,264be_00004,4__gin__mode__grid_search=single_feature,,,,,,,,,,,,,,,
44995.0,1000.0,0.33,0.02226477675139904,0.04,19.052467346191406,0.1,0.02568141371011734,0.029,0.0783328115940094,0.0033,5.753677845001221,0.7932729721069336,0.007923064917749485,0.716764184606935,0.0,-1.0,[0.7766161  0.23847252 0.6067091 ],[ 3.9240327  3.038583  11.074329 ],-37.0183219909668,16.26590919494629,0.00321119069121778,0.001493053394369781,0.02226477675139904,0.0026397453621029854,1.0,19.052467346191406,[0.7766161  0.23847252 0.6067091 ],[ 3.9240327  3.038583  11.074329 ],-37.0183219909668,16.26590919494629,0.0032773339189589024,0.00217903358861804,0.02568141371011734,0.002701567253097892,1.0,1.0001999735832214,[0.7766161  0.23847252 0.6067091 ],[ 3.9240327  3.038583  11.074329 ],-37.0183219909668,16.26590919494629,0.02637811377644539,0.3327171206474304,5.753677845001221,0.019374800845980644,1.0380285382270813,6.240000247955322,0.026984261348843575,"[0.00102118 0.04947912 0.0530531  0.00102118 0.0526237  0.00102118
 0.0014494  0.05380033 0.05366695 0.05315787]","[0.00102118 0.00235839 0.00102118 0.00102118 0.00102118 0.00477865
 0.00102118 0.0044915  0.00102118 0.00602349 0.0045558  0.02105543
 0.01527414 0.00102118 0.00102118]",1.0004669427871704,1.001076340675354,17.0,0.026709966361522675,0.0975812529905302,0.001,0.9985647416572945,0.00027429498732089996,0.010164998914548945,,,,,,0.28313541412353516,,False,,,44996,33a84d1a581b460a81d24bd5ca0ab16f,2021-02-27_21-52-54,1614462774,17238.216651439667,207102,2bc0ee4f9cd2,172.28.0.2,rl_const_sparsity_obs_space_env_ve2_with_rew_done_ve2_modes_ablation,/root/causality-disentanglement-rl/results/rl_const_sparsity_obs_space_env_ve2_with_rew_done_ve2_modes_ablation/2021_02_27_10_40_03__26489f08-78e8-11eb-842e-0242ac1c0002,causal_sparse,"['/root/causality-disentanglement-rl/sparse_causal_model_learner_rl/configs/rl_const_sparsity_obs_space.gin', '/root/causality-disentanglement-rl/sparse_causal_model_learner_rl/configs/env_ve2_with_rew_done.gin', '/root/causality-disentanglement-rl/sparse_causal_model_learner_rl/configs/ve2_modes_ablation.gin']",True,no_model_id_init,17238.216651439667,0,44996,,,264be_00005,5__gin__mode__grid_search=no_model_id_init,,,,,,,,,,,,,,,
44995.0,1000.0,0.33,1.119052767753601,0.04,7.181888103485107,0.1,0.19133137166500092,0.029,0.289986252784729,0.0033,8.107318878173828,0.7108598351478577,0.03291877515108228,2.140680254572546,0.0,-1.0,[-0.8128698  0.9092159 -1.7364024],[9.114842  7.8799543 4.9338093],-36.42438507080078,30.354700088500977,0.02194463089108467,0.9874746799468994,1.119052767753601,0.019095875322818756,1.0000856518745422,7.181888103485107,[-0.8128698  0.9092159 -1.7364024],[9.114842  7.8799543 4.9338093],-36.42438507080078,30.354700088500977,0.02752130664885044,0.009377364069223404,0.19133137166500092,0.026683423668146133,1.0002285242080688,1.0005999207496643,[-0.8128698  0.9092159 -1.7364024],[9.114842  7.8799543 4.9338093],-36.42438507080078,30.354700088500977,0.024158254265785217,1.070563793182373,8.107318878173828,0.021663857623934746,1.0481998920440674,5.789473533630371,1.2570915222167969,"[0.00102118 0.05426899 0.05408834 0.05355969 0.05475376 0.05486678
 0.05423279 0.05493472 0.05483888 0.05382006]","[0.00102118 0.00117573 0.05367241 0.05470517 0.00102118 0.00102118
 0.05503292 0.05479855 0.00102118 0.05475337 0.06472396 0.05493248
 0.05403446 0.0547892  0.00102118]",1.0008128881454468,1.0009957551956177,7.0,0.3187583088874817,0.09887554860501577,0.001,0.10925031770928144,0.9383332133293152,0.7464318999420403,,,,,,0.2662978172302246,,False,,,44996,62e500dc214a458d9aa2dab095e70a56,2021-02-28_04-58-10,1614488290,26898.739291906357,392569,2bc0ee4f9cd2,172.28.0.2,rl_const_sparsity_obs_space_env_ve2_with_rew_done_ve2_modes_ablation,/root/causality-disentanglement-rl/results/rl_const_sparsity_obs_space_env_ve2_with_rew_done_ve2_modes_ablation/2021_02_27_10_40_03__26489f08-78e8-11eb-842e-0242ac1c0002,causal_sparse,"['/root/causality-disentanglement-rl/sparse_causal_model_learner_rl/configs/rl_const_sparsity_obs_space.gin', '/root/causality-disentanglement-rl/sparse_causal_model_learner_rl/configs/env_ve2_with_rew_done.gin', '/root/causality-disentanglement-rl/sparse_causal_model_learner_rl/configs/ve2_modes_ablation.gin']",True,start_from_zero,26898.739291906357,0,44996,,,264be_00006,6__gin__mode__grid_search=start_from_zero,450.13,9.0,,4.0531158447265625e-06,0.0,225.1368,0.0,22513680.0,45013000.0,0.5001595094750405,,,,,
44260.0,1000.0,0.33,0.07331417500972748,0.04,12.125109672546387,0.1,0.07778272777795792,0.029,0.19827210903167725,0.0033,6.43422794342041,0.5439592003822327,0.015264861392316906,1.322156287725001,0.0,-1.0,[ 2.8118887  -1.1909477  -0.35993698],[5.1366434 3.0888844 7.080546 ],-18.0174560546875,27.80072021484375,0.005882405675947666,0.004605662077665329,0.07331417500972748,0.005240998696535826,1.000142753124237,12.125109672546387,[ 2.8118887  -1.1909477  -0.35993698],[5.1366434 3.0888844 7.080546 ],-18.0174560546875,27.80072021484375,0.005829301197081804,0.0029178622644394636,0.07778272777795792,0.005205818451941013,1.0000856518745422,1.000342845916748,[ 2.8118887  -1.1909477  -0.35993698],[5.1366434 3.0888844 7.080546 ],-18.0174560546875,27.80072021484375,0.023705247789621353,0.30130189657211304,6.43422794342041,0.02274411916732788,1.0411999821662903,5.830986022949219,0.07369674742221832,"[0.05275086 0.00102118 0.05065662 0.00102118 0.05303643 0.00102118
 0.00102118 0.05255653 0.05349888 0.05373113]","[0.00102118 0.05149283 0.05323404 0.05370823 0.00102118 0.05292232
 0.05281834 0.0529998  0.00102118 0.0012633  0.00411051 0.00748205
 0.02074231 0.0529179  0.00102118]",1.0001144409179688,1.00092613697052,12.0,0.07672739028930663,0.09750873661533858,0.001,0.09733780124273782,-0.003030642867088304,-0.04112315635485721,,,,,,0.5786838531494141,,False,,,44261,426e143d1d8048aba2c27eb099367e94,2021-02-28_05-08-17,1614488897,26116.859551668167,408387,2bc0ee4f9cd2,172.28.0.2,rl_const_sparsity_obs_space_env_ve2_with_rew_done_ve2_modes_ablation,/root/causality-disentanglement-rl/results/rl_const_sparsity_obs_space_env_ve2_with_rew_done_ve2_modes_ablation/2021_02_27_10_40_03__26489f08-78e8-11eb-842e-0242ac1c0002,causal_sparse,"['/root/causality-disentanglement-rl/sparse_causal_model_learner_rl/configs/rl_const_sparsity_obs_space.gin', '/root/causality-disentanglement-rl/sparse_causal_model_learner_rl/configs/env_ve2_with_rew_done.gin', '/root/causality-disentanglement-rl/sparse_causal_model_learner_rl/configs/ve2_modes_ablation.gin']",True,original,26116.859551668167,0,44261,97.0,82.5,264be_00007,7__gin__mode__grid_search=original,,,,,,,,,,,,,,,
44995.0,1000.0,0.33,0.02406703308224678,0.04,11.138773918151855,0.1,0.021859729662537575,0.029,0.14990997314453125,0.0033,5.912638187408447,0.47953811287879944,0.00765420229498855,0.6788410461498768,0.0,-1.0,[ 0.36186618 -1.6164871  -0.01776895],[4.9356065 7.695723  2.6604755],-13.001809120178223,20.074195861816406,0.003475550329312682,0.0008195400005206466,0.02406703308224678,0.004036082420498133,1.0,11.138773918151855,[ 0.36186618 -1.6164871  -0.01776895],[4.9356065 7.695723  2.6604755],-13.001809120178223,20.074195861816406,0.003470790106803179,0.0005085685406811535,0.021859729662537575,0.003901743795722723,1.0,1.0005428194999695,[ 0.36186618 -1.6164871  -0.01776895],[4.9356065 7.695723  2.6604755],-13.001809120178223,20.074195861816406,0.007781973574310541,0.4216890037059784,5.912638187408447,0.006140244659036398,1.039714276790619,5.888888835906982,0.03526703268289567,"[0.05321285 0.00102118 0.00102118 0.05266436 0.00567861 0.05296004
 0.053673   0.00102118 0.05279304 0.05216037]","[0.00102118 0.05239325 0.0507856  0.05278148 0.00102118 0.05313632
 0.0527298  0.05269587 0.00102118 0.05336144 0.00450095 0.00102118
 0.05252742 0.00102118 0.00102118]",1.0010370016098022,1.000797986984253,11.0,0.035304617136716836,0.0974145296588122,0.001,0.0970780518898853,-3.758445382116837e-05,-0.001065710692450648,,,,,,0.1297893524169922,,False,,,44996,9a9fcf7a8c5f4bd3ba67f8b781db7fee,2021-02-27_04-38-26,1614400706,5267.650257110596,7520,a308817dce09,172.28.0.2,rl_const_sparsity_obs_space_env_ve2_with_rew_done_ve2_modes_ablation,/root/causality-disentanglement-rl/results/rl_const_sparsity_obs_space_env_ve2_with_rew_done_ve2_modes_ablation/2021_02_27_03_10_37__5d4ef608-78a9-11eb-90a6-0242ac1c0002,causal_sparse,"['/root/causality-disentanglement-rl/sparse_causal_model_learner_rl/configs/rl_const_sparsity_obs_space.gin', '/root/causality-disentanglement-rl/sparse_causal_model_learner_rl/configs/env_ve2_with_rew_done.gin', '/root/causality-disentanglement-rl/sparse_causal_model_learner_rl/configs/ve2_modes_ablation.gin']",True,no_rotation,5267.650257110596,0,44996,,,5d51c_00000,0__gin__mode__grid_search=no_rotation,,,,,,,,,,,,,,,
44995.0,1000.0,0.33,0.04049260914325714,0.04,11.138206481933594,0.1,0.03842548653483391,0.029,0.10603301227092743,0.0033,7.693968296051025,0.4911983907222748,0.010170817894786837,1.5467229727230785,0.0,-1.0,[-0.41335016 -2.5124292   0.2667839 ],[0.04153499 0.04092765 0.03916338],-2.6282098293304443,0.35621699690818787,0.005523317493498325,0.011188746429979801,0.04049260914325714,0.00525467237457633,1.0000284910202026,11.138206481933594,[-0.41335016 -2.5124292   0.2667839 ],[0.04153499 0.04092765 0.03916338],-2.6282098293304443,0.35621699690818787,0.005599952768534422,0.009424188174307346,0.03842548653483391,0.005400665570050478,1.0000284910202026,1.0002856850624084,[-0.41335016 -2.5124292   0.2667839 ],[0.04153499 0.04092765 0.03916338],-2.6282098293304443,0.35621699690818787,0.005594887770712376,0.30153727531433105,7.693968296051025,0.005151491612195969,1.048285722732544,5.736842155456543,0.04665133729577065,"[0.05355999 0.00102118 0.05309152 0.00102118 0.05383556 0.00102118
 0.05291746 0.00102118 0.05391598 0.05412251]","[0.00102118 0.05397473 0.0539548  0.05161403 0.00102118 0.05333042
 0.05171871 0.05348184 0.00102118 0.05358182 0.00649089 0.00102118
 0.00330141 0.00496582 0.05306118]",1.0003923177719116,1.0012961626052856,11.0,0.04508790746331214,0.09794311479208692,0.001,0.09774170757777356,0.00156342983245851,0.03351307643222156,,,,,,0.1914386749267578,,False,,,44996,a806889dfd0347c5aa05a40fa71d3d3d,2021-02-27_06-08-10,1614406090,5380.485190868378,28805,a308817dce09,172.28.0.2,rl_const_sparsity_obs_space_env_ve2_with_rew_done_ve2_modes_ablation,/root/causality-disentanglement-rl/results/rl_const_sparsity_obs_space_env_ve2_with_rew_done_ve2_modes_ablation/2021_02_27_03_10_37__5d4ef608-78a9-11eb-90a6-0242ac1c0002,causal_sparse,"['/root/causality-disentanglement-rl/sparse_causal_model_learner_rl/configs/rl_const_sparsity_obs_space.gin', '/root/causality-disentanglement-rl/sparse_causal_model_learner_rl/configs/env_ve2_with_rew_done.gin', '/root/causality-disentanglement-rl/sparse_causal_model_learner_rl/configs/ve2_modes_ablation.gin']",True,no_relative,5380.485190868378,0,44996,,,5d51c_00001,1__gin__mode__grid_search=no_relative,450.13,7.0,,2.86102294921875e-06,0.0,225.10845,0.0,22510845.0,45013000.0,0.5000965276697843,,,,,
